[04:07:01] [INFO] Loaded 45 subdomains, 52 directories, 96 parameters
[04:07:01] [INFO] Initialized 9 attack patterns
[04:07:01] [INFO] ╔══════════════════════════════════════════════════════════════════╗
[04:07:01] [INFO] ║  🚀 VANGUARD SECURITY SCANNER v2.0 - ENTERPRISE EDITION           ║
[04:07:01] [INFO] ║  🔍 COMPREHENSIVE VULNERABILITY ASSESSMENT PLATFORM              ║
[04:07:01] [INFO] ║  ⚡ MAX CONCURRENT REQUESTS: 30                                ║
[04:07:01] [INFO] ║  🎯 CONFIDENCE THRESHOLD: 75%                                 ║
[04:07:01] [INFO] ╚══════════════════════════════════════════════════════════════════╝
[04:07:29] [INFO] ╔══════════════════════════════════════════════════════════════════╗
[04:07:29] [INFO] ║  🚀 VANGUARD SCAN INITIATED: https://le.ac.uk/                            ║
[04:07:29] [INFO] ║  📊 MAX CRAWL DEPTH: 10                                           ║
[04:07:29] [INFO] ║  ⚡ MAX CONCURRENT: 30                                          ║
[04:07:29] [INFO] ╚══════════════════════════════════════════════════════════════════╝
[04:07:29] [PHASE: Reconnaissance] Starting reconnaissance phase
[04:07:29] [INFO] Enumerating subdomains...
[04:07:34] [DEBUG] Found subdomain: shop.le.ac.uk (HTTP)
[04:07:35] [DEBUG] Found subdomain: shop.le.ac.uk (HTTPS)
[04:07:35] [DEBUG] Found subdomain: www.le.ac.uk (HTTP)
[04:07:35] [DEBUG] Found subdomain: www.le.ac.uk (HTTPS)
[04:07:37] [DEBUG] Found subdomain: webmail.le.ac.uk (HTTP)
[04:07:39] [DEBUG] Found subdomain: webmail.le.ac.uk (HTTPS)
[04:07:51] [INFO] Discovered 6 subdomains
[04:07:51] [INFO] Performing port scan...
[04:07:52] [DEBUG] Open port: le.ac.uk:80
[04:08:13] [DEBUG] Open port: le.ac.uk:443
[04:08:55] [INFO] Found 2 open ports
[04:08:55] [INFO] Detecting technologies...
[04:08:56] [INFO] Technologies detected: React, ASP.NET, Java, Vue.js, Angular
[04:08:56] [INFO] Brute forcing directories...
[04:08:58] [DEBUG] Found directory: https://le.ac.uk/media (OK)
[04:08:59] [DEBUG] Found directory: https://le.ac.uk/modules (OK)
[04:08:59] [DEBUG] Found directory: https://le.ac.uk/library (OK)
[04:08:59] [INFO] Discovered 3 directories
[04:08:59] [SUCCESS] Reconnaissance complete. Found 9 initial targets
[04:08:59] [PHASE: Discovery] Starting discovery phase
[04:09:00] [INFO] Discovered 0 API endpoints
[04:09:03] [DEBUG] Found sitemap: https://le.ac.uk/sitemap.xml
[04:09:05] [DEBUG] Found robots.txt: https://le.ac.uk/robots.txt
[04:09:08] [INFO] Discovered 0 common files
[04:09:12] [DEBUG] Discovered parameter: key on https://le.ac.uk/robots.txt
[04:09:12] [DEBUG] Discovered parameter: password on https://www.le.ac.uk
[04:09:12] [DEBUG] Discovered parameter: lastname on https://webmail.le.ac.uk
[04:09:12] [DEBUG] Discovered parameter: mobile on http://webmail.le.ac.uk
[04:09:12] [DEBUG] Discovered parameter: city on https://le.ac.uk/sitemap.xml
[04:09:12] [DEBUG] Discovered parameter: secret on https://le.ac.uk/robots.txt
[04:09:12] [DEBUG] Discovered parameter: mail on https://le.ac.uk/modules
[04:09:12] [DEBUG] Discovered parameter: mail on https://shop.le.ac.uk
[04:09:12] [DEBUG] Discovered parameter: apikey on https://le.ac.uk/robots.txt
[04:09:12] [DEBUG] Discovered parameter: state on https://le.ac.uk/sitemap.xml
[04:09:12] [DEBUG] Discovered parameter: address on https://webmail.le.ac.uk
[04:09:12] [DEBUG] Discovered parameter: phone on https://le.ac.uk/modules
[04:09:12] [DEBUG] Discovered parameter: api_key on https://le.ac.uk/robots.txt
[04:09:12] [DEBUG] Discovered parameter: name on http://webmail.le.ac.uk
[04:09:12] [DEBUG] Discovered parameter: zip on https://le.ac.uk/sitemap.xml
[04:09:13] [DEBUG] Discovered parameter: password on https://le.ac.uk/website.xml
[04:09:13] [DEBUG] Discovered parameter: email on http://shop.le.ac.uk
[04:09:13] [DEBUG] Discovered parameter: city on https://webmail.le.ac.uk
[04:09:13] [DEBUG] Discovered parameter: access_token on https://le.ac.uk/robots.txt
[04:09:13] [DEBUG] Discovered parameter: country on https://le.ac.uk/sitemap.xml
[04:09:13] [DEBUG] Discovered parameter: firstname on http://webmail.le.ac.uk
[04:09:13] [DEBUG] Discovered parameter: refresh_token on https://le.ac.uk/robots.txt
[04:09:13] [DEBUG] Discovered parameter: phone on https://shop.le.ac.uk
[04:09:13] [DEBUG] Discovered parameter: password on http://www.le.ac.uk
[04:09:13] [DEBUG] Discovered parameter: state on https://webmail.le.ac.uk
[04:09:13] [DEBUG] Discovered parameter: token on https://le.ac.uk/sitemap.xml
[04:09:13] [DEBUG] Discovered parameter: csrf on https://le.ac.uk/robots.txt
[04:09:13] [DEBUG] Discovered parameter: email on https://www.le.ac.uk
[04:09:13] [DEBUG] Discovered parameter: auth on https://le.ac.uk/sitemap.xml
[04:09:13] [DEBUG] Discovered parameter: csrf_token on https://le.ac.uk/robots.txt
[04:09:13] [DEBUG] Discovered parameter: email on https://le.ac.uk/website.xml
[04:09:13] [DEBUG] Discovered parameter: zip on https://webmail.le.ac.uk
[04:09:13] [DEBUG] Discovered parameter: lastname on http://webmail.le.ac.uk
[04:09:13] [DEBUG] Discovered parameter: xsrf on https://le.ac.uk/robots.txt
[04:09:13] [DEBUG] Discovered parameter: session on https://le.ac.uk/sitemap.xml
[04:09:13] [DEBUG] Discovered parameter: username on https://le.ac.uk/library
[04:09:13] [DEBUG] Discovered parameter: country on https://webmail.le.ac.uk
[04:09:13] [DEBUG] Discovered parameter: mail on http://shop.le.ac.uk
[04:09:13] [DEBUG] Discovered parameter: xsrf_token on https://le.ac.uk/robots.txt
[04:09:13] [DEBUG] Discovered parameter: key on https://le.ac.uk/sitemap.xml
[04:09:13] [DEBUG] Discovered parameter: address on http://webmail.le.ac.uk
[04:09:13] [DEBUG] Discovered parameter: mobile on https://shop.le.ac.uk
[04:09:13] [DEBUG] Discovered parameter: jwt on https://le.ac.uk/robots.txt
[04:09:14] [DEBUG] Discovered parameter: token on https://webmail.le.ac.uk
[04:09:14] [DEBUG] Discovered parameter: secret on https://le.ac.uk/sitemap.xml
[04:09:14] [DEBUG] Discovered parameter: bearer on https://le.ac.uk/robots.txt
[04:09:14] [DEBUG] Discovered parameter: password on https://le.ac.uk/library
[04:09:14] [DEBUG] Discovered parameter: file on https://le.ac.uk/robots.txt
[04:09:14] [DEBUG] Discovered parameter: mail on https://le.ac.uk/website.xml
[04:09:14] [DEBUG] Discovered parameter: apikey on https://le.ac.uk/sitemap.xml
[04:09:14] [DEBUG] Discovered parameter: city on http://webmail.le.ac.uk
[04:09:14] [DEBUG] Discovered parameter: auth on https://webmail.le.ac.uk
[04:09:14] [DEBUG] Discovered parameter: filename on https://le.ac.uk/robots.txt
[04:09:14] [DEBUG] Discovered parameter: password on https://le.ac.uk/media
[04:09:14] [DEBUG] Discovered parameter: api_key on https://le.ac.uk/sitemap.xml
[04:09:14] [DEBUG] Discovered parameter: email on https://le.ac.uk/library
[04:09:14] [DEBUG] Discovered parameter: path on https://le.ac.uk/robots.txt
[04:09:14] [DEBUG] Discovered parameter: firstname on https://shop.le.ac.uk
[04:09:14] [DEBUG] Discovered parameter: session on https://webmail.le.ac.uk
[04:09:14] [DEBUG] Discovered parameter: url on https://le.ac.uk/robots.txt
[04:09:14] [DEBUG] Discovered parameter: access_token on https://le.ac.uk/sitemap.xml
[04:09:14] [DEBUG] Discovered parameter: state on http://webmail.le.ac.uk
[04:09:14] [DEBUG] Discovered parameter: email on https://le.ac.uk/media
[04:09:14] [DEBUG] Discovered parameter: phone on http://shop.le.ac.uk
[04:09:14] [DEBUG] Discovered parameter: uri on https://le.ac.uk/robots.txt
[04:09:14] [DEBUG] Discovered parameter: phone on https://le.ac.uk/website.xml
[04:09:14] [DEBUG] Discovered parameter: key on https://webmail.le.ac.uk
[04:09:14] [DEBUG] Discovered parameter: mobile on https://le.ac.uk/modules
[04:09:14] [DEBUG] Discovered parameter: redirect on https://le.ac.uk/robots.txt
[04:09:14] [DEBUG] Discovered parameter: zip on http://webmail.le.ac.uk
[04:09:14] [DEBUG] Discovered parameter: refresh_token on https://le.ac.uk/sitemap.xml
[04:09:14] [DEBUG] Discovered parameter: return on https://le.ac.uk/robots.txt
[04:09:15] [DEBUG] Discovered parameter: secret on https://webmail.le.ac.uk
[04:09:15] [DEBUG] Discovered parameter: lastname on https://shop.le.ac.uk
[04:09:15] [DEBUG] Discovered parameter: firstname on https://le.ac.uk/modules
[04:09:15] [DEBUG] Discovered parameter: callback on https://le.ac.uk/robots.txt
[04:09:15] [DEBUG] Discovered parameter: mail on https://le.ac.uk/library
[04:09:15] [DEBUG] Discovered parameter: action on https://le.ac.uk/robots.txt
[04:09:15] [DEBUG] Discovered parameter: csrf on https://le.ac.uk/sitemap.xml
[04:09:15] [DEBUG] Discovered parameter: country on http://webmail.le.ac.uk
[04:09:15] [DEBUG] Discovered parameter: apikey on https://webmail.le.ac.uk
[04:09:15] [DEBUG] Discovered parameter: mobile on https://le.ac.uk/website.xml
[04:09:15] [DEBUG] Discovered parameter: mail on https://www.le.ac.uk
[04:09:15] [DEBUG] Discovered parameter: method on https://le.ac.uk/robots.txt
[04:09:15] [DEBUG] Discovered parameter: csrf_token on https://le.ac.uk/sitemap.xml
[04:09:15] [DEBUG] Discovered parameter: mobile on http://shop.le.ac.uk
[04:09:15] [DEBUG] Discovered parameter: phone on https://le.ac.uk/library
[04:09:15] [DEBUG] Discovered parameter: api_key on https://webmail.le.ac.uk
[04:09:15] [DEBUG] Discovered parameter: address on https://shop.le.ac.uk
[04:09:15] [DEBUG] Discovered parameter: token on http://webmail.le.ac.uk
[04:09:15] [DEBUG] Discovered parameter: type on https://le.ac.uk/robots.txt
[04:09:15] [DEBUG] Discovered parameter: xsrf on https://le.ac.uk/sitemap.xml
[04:09:15] [DEBUG] Discovered parameter: mode on https://le.ac.uk/robots.txt
[04:09:15] [DEBUG] Discovered parameter: phone on https://www.le.ac.uk
[04:09:15] [DEBUG] Discovered parameter: access_token on https://webmail.le.ac.uk
[04:09:15] [DEBUG] Discovered parameter: xsrf_token on https://le.ac.uk/sitemap.xml
[04:09:15] [DEBUG] Discovered parameter: name on https://le.ac.uk/website.xml
[04:09:15] [DEBUG] Discovered parameter: status on https://le.ac.uk/robots.txt
[04:09:15] [DEBUG] Discovered parameter: lastname on https://le.ac.uk/modules
[04:09:15] [DEBUG] Discovered parameter: auth on http://webmail.le.ac.uk
[04:09:15] [DEBUG] Discovered parameter: jwt on https://le.ac.uk/sitemap.xml
[04:09:15] [DEBUG] Discovered parameter: error on https://le.ac.uk/robots.txt
[04:09:16] [DEBUG] Discovered parameter: refresh_token on https://webmail.le.ac.uk
[04:09:16] [DEBUG] Discovered parameter: city on https://shop.le.ac.uk
[04:09:16] [DEBUG] Discovered parameter: bearer on https://le.ac.uk/sitemap.xml
[04:09:16] [DEBUG] Discovered parameter: msg on https://le.ac.uk/robots.txt
[04:09:16] [DEBUG] Discovered parameter: city on https://le.ac.uk/modules
[04:09:16] [DEBUG] Discovered parameter: firstname on http://shop.le.ac.uk
[04:09:16] [DEBUG] Discovered parameter: session on http://webmail.le.ac.uk
[04:09:16] [DEBUG] Discovered parameter: csrf on https://webmail.le.ac.uk
[04:09:16] [DEBUG] Discovered parameter: message on https://le.ac.uk/robots.txt
[04:09:16] [DEBUG] Discovered parameter: file on https://le.ac.uk/sitemap.xml
[04:09:16] [DEBUG] Discovered parameter: mobile on https://le.ac.uk/library
[04:09:16] [DEBUG] Discovered parameter: state on https://le.ac.uk/modules
[04:09:16] [DEBUG] Discovered parameter: debug on https://le.ac.uk/robots.txt
[04:09:16] [DEBUG] Discovered parameter: firstname on https://le.ac.uk/website.xml
[04:09:16] [DEBUG] Discovered parameter: filename on https://le.ac.uk/sitemap.xml
[04:09:16] [DEBUG] Discovered parameter: csrf_token on https://webmail.le.ac.uk
[04:09:16] [DEBUG] Discovered parameter: test on https://le.ac.uk/robots.txt
[04:09:16] [DEBUG] Discovered parameter: key on http://webmail.le.ac.uk
[04:09:16] [DEBUG] Discovered parameter: firstname on https://le.ac.uk/library
[04:09:16] [DEBUG] Discovered parameter: path on https://le.ac.uk/sitemap.xml
[04:09:16] [DEBUG] Discovered parameter: admin on https://le.ac.uk/robots.txt
[04:09:16] [DEBUG] Found 50 parameters on https://le.ac.uk/robots.txt
[04:09:16] [DEBUG] Discovered parameter: xsrf on https://webmail.le.ac.uk
[04:09:16] [DEBUG] Discovered parameter: url on https://le.ac.uk/sitemap.xml
[04:09:16] [DEBUG] Discovered parameter: email on http://www.le.ac.uk
[04:09:16] [DEBUG] Discovered parameter: secret on http://webmail.le.ac.uk
[04:09:16] [DEBUG] Discovered parameter: lastname on https://le.ac.uk/website.xml
[04:09:16] [DEBUG] Discovered parameter: state on https://shop.le.ac.uk
[04:09:16] [DEBUG] Discovered parameter: lastname on http://shop.le.ac.uk
[04:09:16] [DEBUG] Discovered parameter: xsrf_token on https://webmail.le.ac.uk
[04:09:16] [DEBUG] Discovered parameter: uri on https://le.ac.uk/sitemap.xml
[04:09:17] [DEBUG] Discovered parameter: zip on https://le.ac.uk/modules
[04:09:17] [DEBUG] Discovered parameter: redirect on https://le.ac.uk/sitemap.xml
[04:09:17] [DEBUG] Discovered parameter: jwt on https://webmail.le.ac.uk
[04:09:17] [DEBUG] Discovered parameter: apikey on http://webmail.le.ac.uk
[04:09:17] [DEBUG] Discovered parameter: return on https://le.ac.uk/sitemap.xml
[04:09:17] [DEBUG] Discovered parameter: mail on http://www.le.ac.uk
[04:09:17] [DEBUG] Discovered parameter: address on https://le.ac.uk/website.xml
[04:09:17] [DEBUG] Discovered parameter: callback on https://le.ac.uk/sitemap.xml
[04:09:17] [DEBUG] Discovered parameter: zip on https://shop.le.ac.uk
[04:09:17] [DEBUG] Discovered parameter: bearer on https://webmail.le.ac.uk
[04:09:17] [DEBUG] Discovered parameter: api_key on http://webmail.le.ac.uk
[04:09:17] [DEBUG] Discovered parameter: mobile on https://www.le.ac.uk
[04:09:17] [DEBUG] Discovered parameter: action on https://le.ac.uk/sitemap.xml
[04:09:17] [DEBUG] Discovered parameter: address on http://shop.le.ac.uk
[04:09:17] [DEBUG] Discovered parameter: file on https://webmail.le.ac.uk
[04:09:17] [DEBUG] Discovered parameter: method on https://le.ac.uk/sitemap.xml
[04:09:17] [DEBUG] Discovered parameter: country on https://le.ac.uk/modules
[04:09:17] [DEBUG] Discovered parameter: access_token on http://webmail.le.ac.uk
[04:09:18] [DEBUG] Discovered parameter: type on https://le.ac.uk/sitemap.xml
[04:09:18] [DEBUG] Discovered parameter: filename on https://webmail.le.ac.uk
[04:09:18] [DEBUG] Discovered parameter: country on https://shop.le.ac.uk
[04:09:18] [DEBUG] Discovered parameter: city on https://le.ac.uk/website.xml
[04:09:18] [DEBUG] Discovered parameter: firstname on https://www.le.ac.uk
[04:09:18] [DEBUG] Discovered parameter: token on https://le.ac.uk/modules
[04:09:18] [DEBUG] Discovered parameter: mode on https://le.ac.uk/sitemap.xml
[04:09:18] [DEBUG] Discovered parameter: path on https://webmail.le.ac.uk
[04:09:18] [DEBUG] Discovered parameter: refresh_token on http://webmail.le.ac.uk
[04:09:18] [DEBUG] Discovered parameter: status on https://le.ac.uk/sitemap.xml
[04:09:18] [DEBUG] Discovered parameter: auth on https://le.ac.uk/modules
[04:09:18] [DEBUG] Discovered parameter: url on https://webmail.le.ac.uk
[04:09:18] [DEBUG] Discovered parameter: auth on https://shop.le.ac.uk
[04:09:18] [DEBUG] Discovered parameter: error on https://le.ac.uk/sitemap.xml
[04:09:18] [DEBUG] Discovered parameter: state on https://le.ac.uk/website.xml
[04:09:18] [DEBUG] Discovered parameter: csrf on http://webmail.le.ac.uk
[04:09:18] [DEBUG] Discovered parameter: city on http://shop.le.ac.uk
[04:09:18] [DEBUG] Discovered parameter: session on https://le.ac.uk/modules
[04:09:18] [DEBUG] Discovered parameter: msg on https://le.ac.uk/sitemap.xml
[04:09:18] [DEBUG] Discovered parameter: uri on https://webmail.le.ac.uk
[04:09:18] [DEBUG] Discovered parameter: message on https://le.ac.uk/sitemap.xml
[04:09:18] [DEBUG] Discovered parameter: key on https://le.ac.uk/modules
[04:09:18] [DEBUG] Discovered parameter: redirect on https://webmail.le.ac.uk
[04:09:18] [DEBUG] Discovered parameter: csrf_token on http://webmail.le.ac.uk
[04:09:19] [DEBUG] Discovered parameter: debug on https://le.ac.uk/sitemap.xml
[04:09:19] [DEBUG] Discovered parameter: zip on https://le.ac.uk/website.xml
[04:09:19] [DEBUG] Discovered parameter: session on https://shop.le.ac.uk
[04:09:19] [DEBUG] Discovered parameter: secret on https://le.ac.uk/modules
[04:09:19] [DEBUG] Discovered parameter: return on https://webmail.le.ac.uk
